MACH,ALPHA_DEG,BETA_DEG,DELTA_ELEVON_L,DELTA_ELEVON_R,DELTA_RUDDER,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
3.0,6.0,2.0,0.0,0.0,0,0.0279256904850926,0.1903618516533411,-0.0124,-0.0019,-0.0089,0.0077,0,0
3.0,8.0,2.0,0.0,0.0,0,0.0310983320070893,0.2347122548296252,-0.0119,-0.0026,-0.0108,0.0081,0,0
3.0,10.0,2.0,0.0,0.0,0,0.0345726711106759,0.2804643652435005,-0.0115,-0.0033,-0.0127,0.0085,0,0
3.0,12.0,2.0,0.0,0.0,0,0.0382986426640309,0.3274175955776439,-0.0114,-0.0035,-0.0146,0.0086,0,0
3.0,14.0,2.0,0.0,0.0,0,0.0424334408133515,0.3755201312045562,0.0,0.0,-0.0163,0.0,0,0
3.0,16.0,2.0,0.0,0.0,0,0.0470543553423176,0.4247229862703561,0.0,0.0,-0.0179,0.0,0,0
3.0,-6.0,4.0,0.0,0.0,0,0.0134156959758172,-0.0403232168852031,-0.0388,0.0059,0.002,0.0187,0,0
3.0,-4.0,4.0,0.0,0.0,0,0.0151195033884683,-0.0068714216789954,-0.0349,0.0031,0.0003,0.0176,0,0
3.0,-2.0,4.0,0.0,0.0,0,0.0171802282040614,0.0289180347678855,-0.032,0.0017,-0.0015,0.0163,0,0
3.0,0.0,4.0,0.0,0.0,0,0.0195522553850925,0.0666,-0.0297,0.0005,-0.0033,0.0153,0,0
3.0,2.0,4.0,0.0,0.0,0,0.0222424584385921,0.1062409697331596,-0.0278,-0.0009,-0.0051,0.0147,0,0
3.0,4.0,4.0,0.0,0.0,0,0.0250781778869555,0.1476089331997976,-0.0262,-0.0024,-0.007,0.0148,0,0
3.0,6.0,4.0,0.0,0.0,0,0.0280269975923323,0.1904730502873308,-0.0248,-0.0038,-0.0089,0.0154,0,0
