,ALPHA_DEG,BETA_DEG,MACH,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
1116,-1,-6,5.0,0.0439972,0.0596451,0.0953613,-0.00843106,-0.00560972,-0.143439,-2.41224,0.257884
1117,-1,-5,5.0,0.043672,0.0603253,0.078702,-0.00701817,-0.00576204,-0.118317,-2.40291,0.256778
1118,-1,-4,5.0,0.0434031,0.0608851,0.0624552,-0.00561241,-0.0058782,-0.0938804,-2.39495,0.255838
1119,-1,-3,5.0,0.0432412,0.061317,0.0465838,-0.00421112,-0.00598446,-0.0699766,-2.38852,0.255068
1120,-1,-2,5.0,0.0430612,0.0616259,0.0309384,-0.00281771,-0.00606402,-0.0464678,-2.38387,0.254512
1121,-1,-1,5.0,0.042908,0.0618168,0.015481,-0.00142695,-0.00611377,-0.023225,-2.38101,0.254183
1122,-1,0,5.0,0.0426412,0.0619072,0.000110587,-2.83812e-05,-0.00610305,-0.000109854,-2.37999,0.254049
1123,-1,1,5.0,0.0431751,0.0618052,-0.0152576,0.00135901,-0.00610374,0.0230181,-2.38096,0.254185
1124,-1,2,5.0,0.0431371,0.0616395,-0.0307097,0.00275433,-0.0060714,0.0462136,-2.38381,0.254521
1125,-1,3,5.0,0.043263,0.0613458,-0.0463554,0.00414939,-0.0059992,0.0697119,-2.38843,0.255079
1126,-1,4,5.0,0.043508,0.0609265,-0.062236,0.00555148,-0.00588729,0.0935794,-2.39484,0.255855
1127,-1,5,5.0,0.0436541,0.0603838,-0.0784759,0.00695428,-0.0057607,0.118063,-2.40278,0.256801
1128,0,-6,5.0,0.0464342,0.0897066,0.094863,-0.00826931,-0.0126787,-0.142967,-2.39978,0.263928
1129,0,-5,5.0,0.0461504,0.0903767,0.0782915,-0.006884,-0.01283,-0.117929,-2.39031,0.262929
1130,0,-4,5.0,0.0458839,0.0909242,0.0621276,-0.00550287,-0.0129464,-0.0935676,-2.38222,0.262075
