MACH,CYP,CYR,CNQ,CNAD,CLLP,CMQ,CMAD,CLNR,CLLR,CLNP,CNDEL,CNDER,CMDEL,CMDER,CLLDEL,CLLDER,CHDE,CYDR,CLNDR,CLLDR,CHDR
3.4,0.9124830761130006,1.5226948352000003,0.7315457008640001,0.19479281536,-0.41446605760298943,-0.48915735294976004,-0.23603999083243682,-4.589558758400001,0.014659814400000004,1.120720418948177,0.03623959735749355,0.03623959735749355,-0.023558092326258374,-0.023558092326258374,0.020946370476796095,-0.020946370476796095,-6.786004232858957e-05,0.07184292621756373,-0.08555318158647657,0.039592387150593315,-0.001477688961533764
3.45,0.9056451087905422,1.5075313792000002,0.724420035328,0.18999378909866668,-0.4126833668999016,-0.4781965044941613,-0.22502566605498922,-4.4592092160000005,0.014659814400000004,1.1177586607850436,0.03573476349831606,0.03573476349831606,-0.023231662132302468,-0.023231662132302468,0.02066338846793261,-0.02066338846793261,-6.975805882042086e-05,0.0708740538942753,-0.084434354491329,0.03908496709296071,-0.0014719612807927909
3.5,0.8987417137449659,1.4925699712,0.71738820736,0.18527795217066667,-0.41088718318152845,-0.46778210315930413,-0.21466429166112508,-4.3359086848000015,0.014659814400000004,1.1148619843064318,0.03524395521431824,0.03524395521431824,-0.02291423231872847,-0.02291423231872847,0.020387890201782544,-0.020387890201782544,-7.149904149334958e-05,0.06992608642057603,-0.08333707586563378,0.038586371442519384,-0.0014654661223107263
3.55,0.8917689849312423,1.4778106112,0.7104502169600001,0.180645304576,-0.4090767746108486,-0.45787505281072766,-0.20490418885241907,-4.219154508800001,0.014659814400000004,1.1120369736581444,0.034766596346211806,0.034766596346211806,-0.022605437280166486,-0.022605437280166486,0.020119592550956272,-0.020119592550956272,-7.309538419196781e-05,0.06899895580046422,-0.08226163596885883,0.038096877677332434,-0.0014583250035411681
3.6,0.8847289299043416,1.4632552704000001,0.7036040675840001,0.17609451528533332,-0.40725436615084076,-0.44843940297996193,-0.19569907140071618,-4.108480499200001,0.014659814400000004,1.1092911985859872,0.03430214131416411,0.03430214131416411,-0.02230493047819703,-0.02230493047819703,0.019858225323084386,-0.019858225323084386,-7.45583537464716e-05,0.06809248224291581,-0.08120814226959605,0.03761665781246554,-0.0014506414243379473
3.65,0.8776196138192337,1.4489019776,0.696849759232,0.17162425326933334,-0.40542021156448355,-0.43944234886452826,-0.18700669750556445,-4.0034648192,0.014659814400000004,1.1066302576357647,0.03385007320633227,0.03385007320633227,-0.022012383285241098,-0.022012383285241098,0.019603530681865305,-0.019603530681865305,-7.58982089693751e-05,0.06720640069632937,-0.08017655889060835,0.03714580015911715,-0.001442503833884888
3.7,0.870439101830889,1.4347517184000003,0.6901859608746668,0.16723318749866667,-0.4035755502147557,-0.4308537819470832,-0.1787888697942146,-3.9037211136000005,0.014659814400000004,1.1040627061532817,0.033409901995001164,0.033409901995001164,-0.021727483900818124,-0.021727483900818124,0.019355262575108778,-0.019355262575108778,-7.712430526114242e-05,0.0663403817349478,-0.07916673789822357,0.03668432664339609,-0.0014339880465523806
3.75,0.8631894014942779,1.4208015360000001,0.6836113414826668,0.16292065245866666,-0.4017206358646359,-0.42264673937627434,-0.17101143532162033,-3.8088916096000007,0.014659814400000004,1.1015921714843429,0.03298116287287948,0.03298116287287948,-0.021449936336793086,-0.021449936336793086,0.019113186174996917,-0.019113186174996917,-7.824518678706148e-05,0.06549404804841095,-0.0781784442202828,0.03623220665154317,-0.001425159221211585
3.8,0.855867592364371,1.4070504448000005,0.6771252355413334,0.15868531712000003,-0.3998567078771027,-0.41479560644331687,-0.16364248804701462,-3.7186510592000004,0.014659814400000004,1.0992272089747523,0.032563414702113234,0.032563414702113234,-0.02117945946801264,-0.02117945946801264,0.018877077334281935,-0.018877077334281935,-7.926866789024787e-05,0.06466698748844993,-0.07721137555572835,0.03578936814061384,-0.001416073492218938
3.85,0.8484737107961376,1.3934984448,0.6707263120213333,0.15452585045333334,-0.3979840200151349,-0.4072779141054172,-0.15665371697647748,-3.6326998400000003,0.014659814400000004,1.0969724315703155,0.032156238568723544,0.032156238568723544,-0.020915786144639882,-0.020915786144639882,0.01864672206098048,-0.01864672206098048,-8.020190515774138e-05,0.06385876340557413,-0.07626517832511959,0.035355706583875046,-0.0014067793205751005
